site_index,English_Quote,Persian_Quote,Prise_Writer
1208,The prose is catchy and flows easily.,با نثری گیرا و بسیار روان.,Litteratur Magazinet
1208,Excellent and touching.,عالی و تأثیرگذار.,Litteratursiden
1208,Wonderful!,شگفت انگیز!,Varbergs Posten
550,"Wright's novel is real, raw and brutally honest.",رمان رایت، واقعی، عریان و به شکل بی رحمانه ای صادقانه است.,Publishers Weekly
550,An absolutely gripping and intellectually provocative piece.,اثری بسیار جذاب و تفکربرانگیز.,Sacred Fire
550,The story is a strong and powerful one.,با داستانی قوی و تأثیرگذار.,New York Times
267,A staggering achievement.,موفقیتی خیره کننده.,Barnes & Noble
267,One of the most terrifying literary worlds of the century.,یکی از هولناک ترین جهان های ادبی قرن.,New York Times
267,Completely original and unforgettable.,کاملا بدیع و فراموش نشدنی.,Amazon
22998,"A chuckle-inducing, entirely worthy follow-up.",دنباله ای خنده دار، و کاملا قابل قبول.,Kirkus Reviews
22998,Kids between the ages of 5 and 9 will rejoice to learn that their favorite princess has returned.,کودکان بین سنین 5 تا 9 سال از فهمیدن این که شاهزاده ی مورد علاقه شان بازگشته، به وجد خواهند آمد.,Wall Street Journal
22998,Princess and adventure fans alike will clamor for an invite to this not-so-perfect but oh-so-entertaining party.,طرفداران شاهزاده ها و داستان های ماجراجویانه از دعوت به این مهمانی نه چندان بی نقص اما بسیار سرگرم کننده، خوشحال خواهند شد.,School Library Journal
65420,Full of clever and dark turns.,سرشار از پیچ و خم های هوشمندانه و تاریک.,Associated Press
65420,"A moving, thrilling novel that explores with daring what it costs you to deny your identity.",رمانی تکان دهنده و پرهیجان که با جسارت به کاوش در تاوان انکار هویت می پردازد.,Barnes & Noble
65420,"Insightful, frightening and uplifting.",خردمندانه، ترسناک و نشاط بخش.,Guardian
7616,"Wry, witty and poignant.",طعنه آمیز، با لطافت طبع و گزنده.,Amazon
7616,Davis mixes long and short dispatches to intoxicating effect.,«دیویس» پیام های بلند و کوتاه را با تأثیری مسحورکننده ترکیب می کند.,New York Times
7616,its pleasures are unexpected and manifold.,لذت های این کتاب، غیرمنتظره و گوناگون است.,Elle
23660,A perfect parable for our times.,یک داستان تمثیلی بی نقص برای عصر ما.,San Francisco Magazine
23660,A delicious and funny novel.,رمانی دلنشین و خنده دار.,Amazon
23660,"If you’ve ever been confused about what’s artificial and what’s authentic, Sourdough is a book for you.",اگر تا به حال در مورد این که چه چیزی تصنعی و چه چیزی واقعی است، به اشتباه افتاده اید، کتاب «خمیر ترش» برای شما است.,Paris Review
81662,One of James' most popular works.,یکی از محبوب ترین آثار «جیمز».,Feedbooks
81662,James' first great portrait of the enigmatic and independent American woman.,اولین پرتره «جیمز» از زن آمریکایی مرموز و مستقل.,Barnes & Noble
81662,James's classic story of a young American woman.,داستان کلاسیک «جیمز» درباره یک زن آمریکایی جوان.,Amazon
16065,Fans will appreciate the depth of characters.,طرفداران از عمق کاراکترها لذت خواهند برد.,Publishers Weekly
16065,An enthralling and touching work.,اثری هیجان انگیز و تأثیرگذار.,Library Journal
16065,It demonstrates that those who ignore family history are often condemned to repeat it.,این اثر نشان می دهد آن هایی که پیشینه ی خانوادگی را نادیده می گیرند، اغلب محکوم به تکرار آن هستند.,Kirkus Reviews
1370,This lost jewel provides the reader with a fresh perspective on the collective work of a genius.,این گوهر ناشناخته، چشم اندازی تازه از آثار یک نابغه را در اختیار مخاطبین قرار می دهد.,Goodreads
1370,Kafka at his most powerful and enigmatic.,کافکا در قدرتمندترین و اسرارآمیزترین وجه خود.,Barnes & Noble
1370,Fascinating.,شگفت انگیز.,Penguin
37431,With a thoroughly satisfying ending.,با پایانی سراسر رضایت بخش.,Publishers Weekly
37431,With an unforgettable protagonist.,با پروتاگونیستی فراموش نشدنی.,Barnes & Noble
37431,A spellbinding tale.,داستانی مسحورکننده.,Kirkus Reviews
64345,Churchland provides an important service in Braintrust by applying recent scientific research to moral concerns.,چرچلند با به کارگیری تحقیقات علمی اخیر برای نگرانی های اخلاقی، خدمات مهمی را در این کتاب ارائه می دهد.,"Richard S. Mathis, Science"
64345,"Churchland, by insisting that morality is neither an innate instinct nor an abstract system, but rather a tough, practical problem posed by our instincts, is bringing together the best in both neuroscientific and philosophical thinking.",چرچلند، با اصرار بر اینکه اخلاق نه یک غریزه فطری و نه یک سیستم انتزاعی است، بلکه یک مشکل سخت و عملی است که توسط غرایز ما ایجاد شده است، بهترین ها را در تفکر عصب شناسی و فلسفی گرد هم می آورد.,Josh Rothman
83019,Readers familiar with the first book and newcomers alike will enjoy this trek.,مخاطبین آشنا با کتاب اول و مخاطبین جدید به شکل مشابه از این سفر لذت خواهند برد.,Publishers Weekly
83019,Fans of the bestselling Peak will be thrilled.,طرفداران کتاب پرفروش «پسری به نام قله» به وجد خواهند آمد.,Amazon
83019,With a nail-biting rescue attempt that will have readers turning pages.,با یک مأموریت نجات نفسگیر که مخاطبین را وادار به ورق زدن صفحات می کند.,School Library Journal
